bag_id,origin,destination,is_mishandled,failure_point,processing_time_min
BAG00080,DXB,LAX,False,,65
BAG00081,LAX,ORD,False,,21
BAG00082,LAX,JFK,False,,28
BAG00083,ORD,DXB,False,,45
BAG00084,ORD,LAX,False,,32
BAG00085,ATL,LAX,True,Sorting,39
BAG00086,JFK,LHR,False,,34
BAG00087,ATL,LAX,False,,106
BAG00088,DXB,ORD,False,,82
BAG00089,DXB,LHR,False,,77
BAG00090,DXB,JFK,True,Loading,34
BAG00091,DXB,ORD,False,,116
BAG00092,LHR,ATL,False,,24
BAG00093,ATL,DXB,False,,113
BAG00094,ORD,LHR,False,,49
BAG00095,ORD,JFK,False,,38
BAG00096,ATL,LAX,False,,109
BAG00097,LHR,JFK,False,,20
BAG00098,LAX,ORD,False,,53
BAG00099,DXB,JFK,False,,20
BAG00100,LHR,DXB,False,,86
BAG00101,ATL,LAX,False,,105
BAG00102,JFK,DXB,False,,88
BAG00103,JFK,LHR,False,,35
BAG00104,LAX,ORD,False,,58
BAG00105,ATL,JFK,False,,42
BAG00106,LAX,ORD,False,,119
BAG00107,LAX,LHR,False,,38
BAG00108,LAX,JFK,False,,23
BAG00109,LAX,JFK,False,,51
BAG00110,ORD,LHR,False,,69
BAG00111,ORD,LHR,False,,80
BAG00112,ORD,ATL,False,,86
BAG00113,JFK,LAX,False,,62
BAG00114,ATL,DXB,False,,114
BAG00115,DXB,LAX,True,Loading,54
BAG00116,JFK,ORD,False,,45
BAG00117,LAX,ORD,False,,26
BAG00118,ATL,LAX,False,,94
BAG00119,LHR,ATL,False,,55
BAG00120,LAX,DXB,False,,83
BAG00121,ORD,JFK,False,,55
BAG00122,LAX,JFK,False,,43
BAG00123,DXB,LHR,False,,74
BAG00124,LHR,JFK,False,,49
BAG00125,JFK,LAX,False,,108
BAG00126,DXB,LHR,False,,68
BAG00127,ATL,LHR,False,,38
BAG00128,ATL,JFK,False,,97
BAG00129,ATL,ORD,False,,35
BAG00130,LHR,DXB,False,,44
BAG00131,ATL,ORD,False,,72
BAG00132,JFK,DXB,False,,77
BAG00133,DXB,LAX,False,,106
BAG00134,LHR,ORD,False,,95
BAG00135,JFK,ORD,False,,36
BAG00136,LHR,DXB,False,,28
BAG00137,LAX,ATL,False,,24
BAG00138,LHR,DXB,False,,27
BAG00139,LHR,JFK,False,,36
BAG00140,JFK,DXB,False,,89
BAG00141,ATL,ORD,False,,73
BAG00142,ORD,LAX,False,,58
BAG00143,DXB,ORD,False,,111
BAG00144,DXB,LAX,False,,91
BAG00145,LHR,JFK,False,,22
BAG00146,LHR,ATL,False,,82
BAG00147,ATL,JFK,False,,52
BAG00148,DXB,LHR,False,,63
BAG00149,LHR,DXB,True,Sorting,99
BAG00150,DXB,LHR,False,,55
BAG00151,ORD,ATL,False,,37
BAG00152,JFK,LAX,False,,50
BAG00153,JFK,DXB,False,,22
BAG00154,JFK,ATL,False,,115
BAG00155,DXB,ATL,False,,27
BAG00156,LAX,LHR,False,,27
BAG00157,LAX,LHR,False,,111
BAG00158,LHR,JFK,False,,46
BAG00159,DXB,JFK,False,,103
BAG00160,LHR,ATL,False,,32
BAG00161,DXB,ORD,False,,101
BAG00162,ORD,DXB,False,,85
BAG00163,LAX,ORD,False,,24
BAG00164,JFK,LAX,False,,68
BAG00165,ORD,DXB,False,,108
BAG00166,DXB,ORD,False,,96
BAG00167,JFK,ORD,True,Transfer,20
BAG00168,LHR,ATL,False,,114
BAG00169,LHR,ORD,False,,72
BAG00170,LHR,LAX,False,,36
BAG00171,LHR,JFK,False,,70
BAG00172,LHR,DXB,False,,84
BAG00173,JFK,ORD,False,,91
BAG00174,LAX,ORD,False,,22
BAG00175,ORD,LAX,False,,73
BAG00176,ATL,DXB,False,,76
BAG00177,JFK,DXB,False,,85
BAG00178,ORD,ATL,False,,83
BAG00179,ATL,LAX,False,,117
BAG00180,LAX,ATL,False,,117
BAG00181,ATL,JFK,False,,107
BAG00182,ATL,LAX,False,,24
BAG00183,LHR,ATL,False,,36
BAG00184,LAX,JFK,False,,107
BAG00185,LHR,LAX,False,,85
BAG00186,LHR,ORD,False,,94
BAG00187,ORD,JFK,False,,99
BAG00188,ORD,LHR,False,,75
BAG00189,JFK,ATL,False,,46
BAG00190,LHR,LAX,False,,70
BAG00191,ORD,DXB,False,,111
BAG00192,LAX,DXB,True,Loading,20
BAG00193,LHR,JFK,False,,65
BAG00194,LAX,JFK,False,,64
BAG00195,ORD,JFK,False,,66
BAG00196,JFK,ATL,False,,80
BAG00197,JFK,ORD,False,,27
BAG00198,JFK,ATL,False,,98
BAG00199,DXB,LAX,False,,97
BAG00200,LAX,DXB,False,,78
BAG00201,ORD,ATL,False,,37
BAG00202,LAX,ATL,False,,83
BAG00203,JFK,DXB,False,,58
BAG00204,JFK,LAX,False,,109
BAG00205,DXB,ATL,False,,32
BAG00206,ATL,JFK,False,,86
BAG00207,JFK,DXB,False,,119
BAG00208,DXB,LAX,False,,59
BAG00209,JFK,LHR,False,,60
BAG00210,LHR,ATL,False,,117
BAG00211,ORD,ATL,False,,52
BAG00212,LHR,DXB,False,,23
BAG00213,DXB,ORD,False,,113
BAG00214,JFK,ATL,False,,59
BAG00215,LHR,ATL,False,,25
BAG00216,LAX,LHR,False,,23
BAG00217,DXB,JFK,False,,70
BAG00218,DXB,JFK,False,,94
BAG00219,LAX,ATL,False,,24
BAG00220,DXB,LAX,False,,38
BAG00221,ATL,JFK,False,,31
BAG00222,JFK,ORD,False,,57
BAG00223,LHR,ORD,False,,96
BAG00224,ORD,ATL,False,,69
BAG00225,LAX,DXB,False,,63
BAG00226,LAX,DXB,False,,103
BAG00227,JFK,DXB,True,Sorting,94
BAG00228,DXB,ORD,False,,68
BAG00229,LHR,ATL,False,,97
BAG00230,LHR,ORD,False,,95
BAG00231,ORD,ATL,False,,83
BAG00232,DXB,ATL,False,,91
BAG00233,ORD,JFK,False,,79
BAG00234,DXB,ORD,False,,24
BAG00235,ORD,ATL,False,,81
BAG00236,ATL,JFK,False,,108
BAG00237,LAX,ATL,False,,116
BAG00238,JFK,LAX,False,,85
BAG00239,DXB,LHR,False,,70
BAG00240,ORD,ATL,False,,91
BAG00241,LAX,LHR,False,,48
BAG00242,JFK,LHR,False,,46
BAG00243,ATL,DXB,False,,116
BAG00244,LHR,DXB,False,,52
BAG00245,DXB,ATL,False,,29
BAG00246,LHR,ORD,False,,57
BAG00247,LHR,ATL,False,,71
BAG00248,LHR,DXB,False,,87
BAG00249,ATL,DXB,False,,114
BAG00250,ORD,ATL,False,,45
BAG00251,ORD,ATL,False,,30
BAG00252,DXB,LAX,False,,25
BAG00253,LAX,ATL,False,,32
BAG00254,DXB,LAX,False,,79
BAG00255,ORD,LHR,False,,87
BAG00256,LHR,DXB,False,,111
BAG00257,LAX,JFK,False,,48
BAG00258,DXB,JFK,False,,42
BAG00259,JFK,DXB,False,,55
BAG00260,DXB,JFK,False,,73
BAG00261,ORD,DXB,False,,72
BAG00262,JFK,ORD,False,,45
BAG00263,JFK,ATL,False,,44
BAG00264,LAX,ATL,False,,26
BAG00265,LAX,ATL,False,,36
BAG00266,ORD,ATL,False,,70
BAG00267,DXB,JFK,False,,89
BAG00268,LHR,JFK,False,,82
BAG00269,ORD,LAX,True,Sorting,68
BAG00270,JFK,LHR,False,,39
BAG00271,DXB,ATL,False,,68
BAG00272,JFK,DXB,False,,70
BAG00273,ORD,ATL,False,,49
BAG00274,LHR,JFK,True,Loading,35
BAG00275,ORD,LAX,False,,66
BAG00276,LAX,ORD,False,,113
BAG00277,DXB,ORD,False,,20
BAG00278,LHR,ORD,False,,93
BAG00279,ORD,LAX,False,,106
BAG00280,ATL,LAX,False,,27
BAG00281,JFK,LAX,False,,107
BAG00282,ORD,DXB,False,,86
BAG00283,ORD,JFK,False,,27
BAG00284,LAX,ATL,False,,97
BAG00285,DXB,ORD,False,,56
BAG00286,DXB,LHR,False,,74
BAG00287,LAX,ORD,False,,42
BAG00288,LHR,ORD,False,,38
BAG00289,ATL,DXB,False,,21
BAG00290,JFK,DXB,False,,21
BAG00291,ORD,LHR,False,,56
BAG00292,DXB,JFK,False,,63
BAG00293,ORD,LHR,False,,43
BAG00294,JFK,ORD,False,,78
BAG00295,DXB,JFK,False,,100
BAG00296,DXB,JFK,False,,44
BAG00297,JFK,ATL,False,,45
BAG00298,LAX,DXB,False,,106
BAG00299,LHR,ORD,False,,104
BAG00300,LAX,LHR,False,,53
BAG00301,JFK,DXB,False,,95
BAG00302,LHR,LAX,False,,46
BAG00303,JFK,ATL,False,,31
BAG00304,LHR,JFK,False,,29
BAG00305,LHR,JFK,False,,111
BAG00306,DXB,LAX,False,,21
BAG00307,ATL,ORD,False,,72
BAG00308,ATL,ORD,False,,40
BAG00309,ORD,ATL,False,,78
BAG00310,ORD,LAX,False,,43
BAG00311,DXB,LHR,False,,55
BAG00312,ATL,ORD,False,,100
BAG00313,DXB,ORD,False,,117
BAG00314,JFK,ORD,False,,92
BAG00315,JFK,LAX,False,,80
BAG00316,ORD,LAX,False,,54
BAG00317,ORD,LAX,False,,63
BAG00318,ORD,LAX,False,,63
BAG00319,ORD,ATL,False,,36
BAG00320,LAX,JFK,False,,66
BAG00321,ATL,ORD,False,,40
BAG00322,JFK,DXB,False,,89
BAG00323,JFK,ORD,False,,34
BAG00324,ORD,LAX,False,,45
BAG00325,LAX,JFK,False,,104
BAG00326,DXB,LAX,False,,98
BAG00327,LHR,JFK,False,,91
BAG00328,LAX,ATL,False,,101
BAG00329,DXB,ATL,False,,37
BAG00330,ORD,LAX,False,,33
BAG00331,ORD,LHR,False,,117
BAG00332,ORD,DXB,False,,109
BAG00333,ATL,JFK,False,,105
BAG00334,JFK,DXB,False,,35
BAG00335,LHR,LAX,False,,85
BAG00336,ORD,LAX,False,,32
BAG00337,LHR,LAX,False,,118
BAG00338,ORD,LHR,False,,112
BAG00339,DXB,LHR,False,,35
BAG00340,ATL,JFK,False,,44
BAG00341,ATL,DXB,False,,68
BAG00342,ORD,DXB,False,,49
BAG00343,LAX,LHR,False,,56
BAG00344,JFK,LAX,False,,98
BAG00345,JFK,LAX,False,,87
BAG00346,ATL,ORD,False,,80
BAG00347,LHR,ORD,False,,58
BAG00348,DXB,ORD,False,,117
BAG00349,JFK,LHR,False,,91
BAG00350,ATL,DXB,False,,93
BAG00351,ORD,LAX,False,,60
BAG00352,JFK,ORD,False,,25
BAG00353,LHR,DXB,False,,106
BAG00354,JFK,LAX,False,,80
BAG00355,ORD,LAX,False,,101
BAG00356,DXB,JFK,False,,51
BAG00357,ORD,DXB,False,,108
BAG00358,JFK,LHR,False,,117
BAG00359,ORD,JFK,False,,111
BAG00360,LHR,JFK,True,Loading,95
BAG00361,LAX,JFK,False,,44
BAG00362,LHR,ORD,False,,107
BAG00363,ATL,ORD,False,,109
BAG00364,LAX,DXB,False,,96
BAG00365,ATL,DXB,False,,59
BAG00366,LHR,DXB,False,,86
BAG00367,LAX,ATL,False,,52
BAG00368,DXB,ORD,False,,111
BAG00369,JFK,ATL,False,,60
BAG00370,LHR,ORD,False,,72
BAG00371,LAX,LHR,False,,57
BAG00372,ATL,DXB,False,,77
BAG00373,JFK,ATL,False,,61
BAG00374,LAX,ATL,False,,58
BAG00375,LAX,LHR,False,,96
BAG00376,LHR,ATL,True,Sorting,65
BAG00377,ORD,JFK,False,,114
BAG00378,LAX,LHR,True,Sorting,54
BAG00379,DXB,ORD,False,,93
BAG00380,JFK,ORD,False,,79
BAG00381,DXB,LHR,False,,87
BAG00382,ATL,LHR,False,,110
BAG00383,JFK,LHR,False,,29
BAG00384,DXB,JFK,False,,101
BAG00385,LAX,DXB,False,,118
BAG00386,ATL,DXB,False,,48
BAG00387,ORD,JFK,False,,98
BAG00388,ORD,ATL,False,,45
BAG00389,LAX,ORD,False,,100
BAG00390,ORD,DXB,False,,34
BAG00391,LHR,DXB,False,,51
BAG00392,LAX,LHR,False,,46
BAG00393,ORD,JFK,False,,75
BAG00394,ATL,DXB,False,,99
BAG00395,LHR,ORD,False,,38
BAG00396,JFK,DXB,False,,20
BAG00397,LAX,LHR,False,,53
BAG00398,LHR,ORD,True,Sorting,43
BAG00399,ATL,LAX,False,,99
BAG00400,ORD,LHR,False,,36
BAG00401,LHR,DXB,False,,46
BAG00402,DXB,LAX,False,,22
BAG00403,LHR,ATL,True,Loading,22
BAG00404,ATL,JFK,True,Transfer,36
BAG00405,DXB,ATL,False,,28
BAG00406,DXB,JFK,False,,105
BAG00407,DXB,LHR,False,,107
BAG00408,ORD,DXB,False,,40
BAG00409,LAX,ORD,False,,114
BAG00410,DXB,ORD,False,,52
BAG00411,ATL,JFK,True,Loading,70
BAG00412,JFK,LAX,False,,65
BAG00413,DXB,ATL,False,,93
BAG00414,LAX,LHR,False,,116
BAG00415,JFK,LAX,False,,52
BAG00416,LHR,ATL,False,,85
BAG00417,DXB,LAX,False,,34
BAG00418,LAX,ORD,False,,68
BAG00419,ORD,DXB,False,,25
BAG00420,JFK,LAX,False,,51
BAG00421,JFK,ORD,False,,91
BAG00422,LAX,LHR,False,,81
BAG00423,ORD,ATL,False,,23
BAG00424,DXB,LAX,False,,22
BAG00425,JFK,LHR,False,,94
BAG00426,LAX,LHR,False,,32
BAG00427,JFK,DXB,False,,38
BAG00428,DXB,ATL,False,,112
BAG00429,LHR,ORD,False,,89
BAG00430,LAX,ATL,False,,115
BAG00431,JFK,ATL,False,,93
BAG00432,ORD,ATL,False,,73
BAG00433,JFK,LHR,False,,104
BAG00434,LAX,DXB,False,,56
BAG00435,ATL,LHR,False,,39
BAG00436,ATL,LAX,False,,115
BAG00437,JFK,LHR,True,Loading,119
BAG00438,LAX,ORD,False,,58
BAG00439,LAX,ATL,False,,31
BAG00440,ORD,DXB,False,,40
BAG00441,JFK,ATL,False,,119
BAG00442,DXB,LAX,False,,97
BAG00443,LAX,DXB,False,,60
BAG00444,DXB,ATL,False,,33
BAG00445,JFK,LHR,False,,89
BAG00446,JFK,ATL,False,,47
BAG00447,LAX,ATL,False,,84
BAG00448,ATL,LHR,False,,66
BAG00449,ORD,LAX,False,,33
BAG00450,LAX,DXB,False,,113
BAG00451,JFK,LAX,False,,27
BAG00452,ORD,LHR,False,,83
BAG00453,DXB,ATL,False,,56
BAG00454,LHR,ATL,False,,63
BAG00455,ATL,LHR,False,,39
BAG00456,LAX,ORD,False,,56
BAG00457,ATL,LAX,True,Transfer,54
BAG00458,DXB,LHR,False,,88
BAG00459,JFK,LAX,False,,31
BAG00460,LAX,LHR,False,,107
BAG00461,ORD,ATL,True,Sorting,69
BAG00462,LHR,JFK,False,,75
BAG00463,ORD,LAX,False,,57
BAG00464,ATL,DXB,False,,69
BAG00465,LAX,LHR,False,,104
BAG00466,JFK,DXB,False,,24
BAG00467,DXB,LAX,False,,109
BAG00468,ORD,LAX,True,Loading,36
BAG00469,LAX,JFK,True,Sorting,65
BAG00470,ATL,JFK,False,,50
BAG00471,DXB,LHR,False,,109
BAG00472,DXB,ATL,False,,83
BAG00473,DXB,JFK,False,,108
BAG00474,LHR,JFK,False,,50
BAG00475,JFK,ATL,False,,23
BAG00476,DXB,ORD,False,,101
BAG00477,LHR,JFK,False,,94
BAG00478,JFK,LAX,False,,84
BAG00479,ATL,LAX,False,,40
BAG00480,ORD,LHR,False,,52
BAG00481,JFK,LAX,False,,109
BAG00482,ORD,ATL,False,,97
BAG00483,LAX,ORD,False,,22
BAG00484,LHR,LAX,False,,85
BAG00485,DXB,ATL,True,Loading,44
BAG00486,ATL,DXB,False,,56
BAG00487,ATL,LHR,False,,67
BAG00488,DXB,LAX,False,,62
BAG00489,LHR,DXB,False,,99
BAG00490,LHR,ATL,False,,55
BAG00491,ORD,ATL,False,,40
BAG00492,LHR,ORD,False,,87
BAG00493,LHR,ATL,False,,48
BAG00494,ATL,ORD,False,,55
BAG00495,DXB,LAX,False,,96
BAG00496,ATL,LAX,False,,94
BAG00497,ATL,LAX,False,,50
BAG00498,JFK,ORD,False,,75
BAG00499,ATL,LHR,False,,26
BAG00500,DXB,JFK,False,,64
BAG00501,LAX,ATL,True,Loading,40
BAG00502,DXB,ATL,False,,28
BAG00503,LAX,ORD,False,,61
BAG00504,JFK,ORD,False,,87
BAG00505,LAX,ATL,False,,58
BAG00506,LAX,JFK,False,,55
BAG00507,LAX,JFK,False,,88
BAG00508,JFK,ATL,False,,52
BAG00509,LHR,JFK,False,,56
BAG00510,ORD,LHR,False,,30
BAG00511,LAX,JFK,False,,76
BAG00512,DXB,JFK,False,,54
BAG00513,LHR,LAX,False,,58
BAG00514,JFK,LAX,True,Loading,38
BAG00515,ATL,LAX,False,,51
BAG00516,LHR,ATL,False,,116
BAG00517,ATL,ORD,False,,116
BAG00518,ORD,JFK,False,,32
BAG00519,JFK,LHR,False,,24
BAG00520,ATL,ORD,False,,27
BAG00521,DXB,LAX,False,,63
BAG00522,LHR,LAX,False,,89
BAG00523,LAX,LHR,False,,100
BAG00524,ORD,LAX,False,,27
BAG00525,DXB,ATL,False,,88
BAG00526,LHR,DXB,False,,74
BAG00527,LAX,JFK,False,,31
BAG00528,JFK,LHR,False,,22
BAG00529,DXB,LHR,False,,24
BAG00530,ATL,LHR,False,,49
BAG00531,LHR,ATL,False,,101
BAG00532,JFK,DXB,False,,57
BAG00533,ATL,LAX,False,,55
BAG00534,JFK,ORD,False,,104
BAG00535,LAX,ATL,False,,84
BAG00536,ORD,ATL,False,,42
BAG00537,LAX,LHR,False,,25
BAG00538,ORD,ATL,False,,79
BAG00539,LHR,ATL,False,,68
BAG00540,LAX,ORD,False,,49
BAG00541,LAX,ATL,False,,71
BAG00542,DXB,JFK,False,,54
BAG00543,LAX,ATL,False,,101
BAG00544,DXB,ATL,False,,29
BAG00545,JFK,ORD,False,,73
BAG00546,JFK,LHR,False,,84
BAG00547,DXB,LHR,False,,118
BAG00548,JFK,LAX,False,,117
BAG00549,LHR,LAX,False,,98
BAG00550,ATL,DXB,False,,51
BAG00551,ATL,DXB,False,,39
BAG00552,LAX,DXB,False,,25
BAG00553,LHR,ORD,False,,79
BAG00554,ORD,ATL,False,,53
BAG00555,LAX,JFK,False,,30
BAG00556,LAX,DXB,False,,98
BAG00557,JFK,ATL,False,,40
BAG00558,JFK,LHR,False,,26
BAG00559,ATL,JFK,False,,59
BAG00560,JFK,DXB,False,,71
BAG00561,LHR,ATL,False,,57
BAG00562,LAX,DXB,False,,81
BAG00563,LHR,ORD,False,,111
BAG00564,DXB,LHR,False,,24
BAG00565,DXB,LAX,False,,40
BAG00566,DXB,LHR,False,,77
BAG00567,LHR,JFK,False,,109
BAG00568,LAX,DXB,False,,101
BAG00569,LHR,DXB,True,Sorting,118
BAG00570,JFK,LHR,False,,40
BAG00571,ATL,DXB,False,,87
BAG00572,LAX,LHR,False,,101
BAG00573,ORD,JFK,False,,48
BAG00574,DXB,LAX,False,,32
BAG00575,JFK,LAX,False,,28
BAG00576,JFK,LAX,False,,67
BAG00577,LHR,JFK,False,,77
BAG00578,ATL,DXB,False,,53
BAG00579,ORD,JFK,False,,79
BAG00580,LHR,ORD,False,,63
BAG00581,JFK,DXB,True,Sorting,106
BAG00582,ORD,JFK,False,,43
BAG00583,ORD,JFK,False,,40
BAG00584,LAX,LHR,False,,34
BAG00585,ORD,ATL,False,,77
BAG00586,LHR,DXB,False,,115
BAG00587,LAX,LHR,False,,27
BAG00588,JFK,LAX,False,,69
BAG00589,ORD,JFK,False,,87
BAG00590,DXB,JFK,False,,81
BAG00591,LAX,ORD,False,,31
BAG00592,ORD,LAX,False,,72
BAG00593,ATL,LAX,False,,34
BAG00594,JFK,ORD,False,,44
BAG00595,ORD,LHR,False,,41
BAG00596,ATL,LHR,False,,51
BAG00597,ORD,JFK,False,,118
BAG00598,LAX,JFK,False,,66
BAG00599,LAX,DXB,False,,40
BAG00600,DXB,ATL,False,,105
BAG00601,DXB,ORD,False,,111
BAG00602,LHR,DXB,False,,48
BAG00603,LHR,ATL,False,,114
BAG00604,ORD,LHR,False,,62
BAG00605,LHR,DXB,False,,22
BAG00606,DXB,ORD,False,,49
BAG00607,ATL,JFK,False,,27
BAG00608,LAX,ORD,True,Sorting,24
BAG00609,ORD,JFK,False,,118
BAG00610,LAX,ORD,False,,29
BAG00611,LHR,ORD,False,,60
BAG00612,LHR,JFK,False,,105
BAG00613,LAX,ORD,False,,31
BAG00614,JFK,LAX,False,,39
BAG00615,ORD,ATL,False,,89
BAG00616,ORD,DXB,False,,23
BAG00617,ATL,LAX,False,,118
BAG00618,LAX,DXB,False,,73
BAG00619,LHR,LAX,False,,23
BAG00620,ATL,JFK,False,,36
BAG00621,ATL,DXB,False,,107
BAG00622,LHR,LAX,False,,23
BAG00623,DXB,LAX,False,,38
BAG00624,ATL,LHR,False,,82
BAG00625,DXB,ORD,False,,95
BAG00626,DXB,LAX,False,,50
BAG00627,ATL,ORD,False,,119
BAG00628,DXB,JFK,False,,37
BAG00629,ATL,JFK,False,,66
BAG00630,ORD,JFK,False,,64
BAG00631,JFK,LAX,False,,39
BAG00632,ORD,LHR,False,,28
BAG00633,LAX,DXB,False,,80
BAG00634,LAX,ORD,False,,113
BAG00635,DXB,LHR,False,,70
BAG00636,LHR,ORD,False,,65
BAG00637,LAX,ATL,False,,83
BAG00638,LHR,ATL,False,,93
BAG00639,LHR,ATL,False,,23
BAG00640,DXB,LAX,False,,43
BAG00641,JFK,LHR,False,,73
BAG00642,DXB,ATL,False,,76
BAG00643,ATL,JFK,False,,49
BAG00644,ATL,LAX,False,,111
BAG00645,ORD,LHR,False,,29
BAG00646,DXB,LAX,False,,89
BAG00647,ATL,JFK,False,,75
BAG00648,ORD,LHR,False,,76
BAG00649,LHR,ATL,False,,110
BAG00650,DXB,LAX,False,,94
BAG00651,ATL,DXB,False,,33
BAG00652,JFK,DXB,False,,101
BAG00653,LHR,ORD,False,,56
BAG00654,JFK,ATL,False,,104
BAG00655,ATL,JFK,False,,52
BAG00656,LAX,DXB,False,,90
BAG00657,DXB,JFK,False,,80
BAG00658,LHR,LAX,False,,62
BAG00659,JFK,LAX,False,,89
BAG00660,DXB,LAX,False,,104
BAG00661,LHR,LAX,False,,76
BAG00662,LAX,ORD,False,,70
BAG00663,LHR,ATL,False,,59
BAG00664,DXB,ATL,False,,118
BAG00665,ORD,JFK,False,,26
BAG00666,LHR,ATL,False,,87
BAG00667,DXB,ATL,False,,104
BAG00668,DXB,ATL,False,,46
BAG00669,LHR,JFK,False,,47
BAG00670,LAX,JFK,True,Sorting,22
BAG00671,ATL,JFK,False,,118
BAG00672,DXB,ATL,False,,69
BAG00673,ORD,ATL,False,,30
BAG00674,ATL,LAX,False,,111
BAG00675,JFK,LHR,False,,91
BAG00676,JFK,ORD,False,,103
BAG00677,DXB,ATL,False,,99
BAG00678,ORD,DXB,False,,59
BAG00679,DXB,JFK,False,,27
BAG00680,LHR,ATL,False,,23
BAG00681,DXB,ORD,False,,31
BAG00682,ORD,JFK,False,,40
BAG00683,DXB,LHR,False,,47
BAG00684,DXB,LAX,False,,46
BAG00685,LHR,JFK,False,,87
BAG00686,JFK,LHR,False,,24
BAG00687,ORD,DXB,False,,28
BAG00688,ATL,LAX,False,,79
BAG00689,ATL,JFK,False,,66
BAG00690,ATL,LHR,False,,107
BAG00691,LAX,ATL,False,,49
BAG00692,LAX,DXB,False,,109
BAG00693,DXB,JFK,False,,71
BAG00694,LAX,JFK,False,,101
BAG00695,LAX,ATL,False,,67
BAG00696,DXB,JFK,False,,30
BAG00697,DXB,ORD,False,,103
BAG00698,LHR,LAX,False,,59
BAG00699,ATL,JFK,False,,20
BAG00700,ORD,LHR,False,,66
BAG00701,DXB,LHR,True,Sorting,72
BAG00702,DXB,ATL,False,,95
BAG00703,JFK,LAX,False,,96
BAG00704,LAX,ATL,False,,110
BAG00705,ORD,ATL,False,,65
BAG00706,DXB,ATL,False,,81
BAG00707,ORD,ATL,False,,97
BAG00708,ORD,LHR,True,Loading,45
BAG00709,DXB,JFK,False,,70
BAG00710,ORD,LAX,False,,47
BAG00711,ATL,DXB,False,,82
BAG00712,JFK,ATL,False,,38
BAG00713,ATL,DXB,False,,59
BAG00714,JFK,LAX,True,Sorting,33
BAG00715,ORD,DXB,False,,78
BAG00716,DXB,JFK,True,Loading,105
BAG00717,JFK,DXB,False,,67
BAG00718,DXB,ATL,False,,83
BAG00719,DXB,LAX,False,,40
BAG00720,LHR,ATL,False,,63
BAG00721,JFK,DXB,False,,80
BAG00722,JFK,LHR,False,,117
BAG00723,JFK,DXB,False,,59
BAG00724,ATL,LHR,False,,34
BAG00725,JFK,ATL,False,,112
BAG00726,DXB,LHR,False,,39
